,f,$(En)diff_{ab}$,$Fi_b$,$(En)diff_{cb}$,LUMO_character,LUMO_element,$Ce_a$,$R_b$,$D_b$,$Dp_b$,$Dp_a$,$o$,$(En)diff_{ca}$,$y$
0,-1,0.62,717.3,1.89,3,25,1.113,0.5900000000000001,7.44,68.0,162.7,0.4214285714285715,2.51,0
1,-1,0.5899999999999999,719.7,1.1600000000000001,3,45,1.16,0.67,12.4,66.0,46.0,0.47857142857142865,1.75,0
2,-10,0.78,558.3,1.66,1,49,1.84,0.8,7.31,65.0,160.8,0.5714285714285715,2.44,1
3,0,0.010000000000000009,737.1,1.53,2,8,4.63,0.69,8.91,49.0,37.3,0.4928571428571428,1.54,1
4,2,0.52,737.7,2.13,3,26,4.28,0.72,1.74,71.2,62.0,0.5142857142857143,1.6099999999999999,0
5,1,0.49,593.4,2.24,2,8,1.16,0.94,7.9,158.0,46.0,0.6714285714285715,1.75,1
6,-1,0.56,658.8,1.9,3,22,1.63,0.64,4.54,100.0,164.1125,0.4571428571428572,2.46,0
7,2,0.16999999999999993,544.5,2.27,4,62,1.84,0.96,7.52,192.0,160.8,0.6857142857142857,2.44,0
8,-1,0.8999999999999999,760.4,1.56,3,27,1.63,0.5700000000000001,8.86,55.0,164.1125,0.4071428571428572,2.46,0
9,1,0.15000000000000013,538.1,2.34,3,57,1.72,1.03,6.15,215.0,197.2,0.7357142857142858,2.49,1
10,-9,0.96,708.6,1.48,2,8,1.84,0.8647,7.29,53.0,160.8,0.6176428571428572,2.44,0
11,1,1.23,495.8,2.51,3,42,6.82,1.02,0.971,162.7,87.0,0.7285714285714286,1.2799999999999998,0
12,-1,0.3500000000000001,640.1,2.11,1,40,1.63,0.76475,6.51,112.0,164.1125,0.54625,2.46,0
13,0,0.5,578.8,1.63,1,31,1.51,0.62,5.91,50.0,71.2,0.4428571428571429,2.13,1
14,-1,0.25,652.9,1.78,1,24,4.44,0.62,7.15,83.0,49.0,0.4428571428571429,1.53,0
15,-1,0.9800000000000002,600.0,2.2199999999999998,3,46,3.89,0.9,4.47,162.0,26.14,0.6428571428571429,1.2399999999999998,0
16,0,0.1299999999999999,760.4,1.56,3,27,3.85,0.61,8.86,55.0,40.0,0.4357142857142857,1.4300000000000002,0
17,2,0.6999999999999997,737.7,2.13,2,8,3.85,0.72,1.74,71.2,40.0,0.5142857142857143,1.4300000000000002,1
18,0,1.0700000000000003,527.0,2.31,4,59,3.89,0.99,6.77,216.0,26.14,0.7071428571428572,1.2399999999999998,0
19,0,0.54,658.8,1.9,3,22,1.84,0.67,4.54,100.0,160.8,0.47857142857142865,2.44,0
20,0,0.09999999999999987,717.3,1.89,3,25,1.35,0.65,7.44,68.0,38.67,0.46428571428571436,1.79,0
21,-2,0.2300000000000002,731.0,1.51,1,47,6.82,0.94,10.5,55.0,87.0,0.6714285714285715,1.2799999999999998,1
22,-1,0.5100000000000002,684.3,1.2799999999999998,3,42,1.35,0.69,10.2,87.0,38.67,0.4928571428571428,1.79,0
23,0,0.30999999999999983,760.4,1.56,3,27,3.32,0.61,8.86,55.0,37.74,0.4357142857142857,1.8699999999999999,0
24,0,0.030000000000000027,760.4,1.56,3,27,4.44,0.61,8.86,55.0,49.0,0.4357142857142857,1.53,0
25,-1,0.5700000000000001,717.3,1.89,3,25,1.63,0.5900000000000001,7.44,68.0,164.1125,0.4214285714285715,2.46,0
26,2,0.19999999999999996,565.8,2.24,4,65,1.84,0.92,8.23,170.0,160.8,0.6571428571428573,2.44,0
27,-1,0.3999999999999999,719.7,1.1600000000000001,3,45,4.39,0.67,12.4,66.0,55.0,0.47857142857142865,1.56,0
28,-1,0.8999999999999999,745.5,1.54,3,29,1.84,0.54,8.96,46.5,160.8,0.3857142857142858,2.44,0
29,-1,1.38,770.0,1.08,3,74,1.63,0.7039500000000001,19.3,68.0,164.1125,0.5028214285714286,2.46,0
30,0,0.5699999999999998,760.4,1.56,3,27,1.51,0.61,8.86,55.0,71.2,0.4357142857142857,2.13,0
31,-1,1.1600000000000001,684.3,1.2799999999999998,3,42,1.84,0.69,10.2,87.0,160.8,0.4928571428571428,2.44,1
32,0,0.07999999999999985,577.5,1.8299999999999998,1,13,1.16,0.54,2.7,57.8,46.0,0.3857142857142858,1.75,0
33,0,0.14000000000000012,762.5,1.6099999999999999,3,26,1.16,0.65,7.87,62.0,46.0,0.46428571428571436,1.75,0
34,0,0.30000000000000004,577.5,1.8299999999999998,1,13,1.51,0.54,2.7,57.8,71.2,0.3857142857142858,2.13,0
35,-9,0.6499999999999999,708.6,1.48,2,8,1.51,0.8647,7.29,53.0,71.2,0.6176428571428572,2.13,0
36,-10,0.09000000000000008,558.3,1.66,1,49,1.16,0.8,7.31,65.0,46.0,0.5714285714285715,1.75,0
37,0,0.020000000000000018,760.4,1.56,3,27,4.63,0.75,8.86,55.0,37.3,0.5357142857142857,1.54,0
38,2,1.4299999999999997,495.8,2.51,3,74,8.9,1.02,0.971,162.7,68.0,0.7285714285714286,1.08,1
39,-1,0.5899999999999999,745.5,1.54,3,29,1.51,0.54,8.96,46.5,71.2,0.3857142857142858,2.13,0
